Datum,M,L,C,KD,S,V,MP,SD,FI
2014-09-15,23.3,5.9,5.8,4.6,30.4,6.5,8.2,11.4,2.9
2014-09-16,23.3,5.9,5.8,4.6,30.3,6.5,8.2,11.4,2.9
2014-09-17,23.4,5.9,5.8,4.6,30.3,6.5,8.2,11.4,2.9
2014-09-18,23.4,5.9,5.8,4.6,30.2,6.5,8.2,11.5,2.9
2014-09-19,23.4,5.9,5.8,4.6,30.2,6.5,8.2,11.5,2.9
2014-09-20,23.5,5.9,5.9,4.6,30.2,6.5,8.2,11.5,2.9
2014-09-21,23.5,5.9,5.9,4.6,30.2,6.5,8.1,11.6,2.9
2014-09-22,23.5,5.8,5.9,4.5,30.1,6.5,8.1,11.6,2.9
2014-09-23,23.6,5.8,5.9,4.5,30.1,6.5,8.1,11.6,2.9
2014-09-24,23.6,5.8,5.9,4.5,30.1,6.5,8.1,11.7,2.9
2014-09-25,23.7,5.8,5.9,4.5,30.1,6.4,8.1,11.7,2.9
2014-09-26,23.7,5.8,6,4.5,30,6.4,8,11.7,2.9
2014-09-27,23.8,5.8,6,4.5,30,6.4,8,11.8,2.9
2014-09-28,23.8,5.8,6,4.4,30,6.4,8,11.8,2.9
2014-09-29,23.8,5.8,6,4.4,30,6.4,8,11.8,2.9
2014-09-30,23.9,5.8,6,4.4,29.9,6.4,8,11.8,2.9
2014-10-01,23.9,5.8,6.1,4.4,29.9,6.4,7.9,11.9,2.9
2014-10-02,24,5.8,6.1,4.4,29.9,6.3,7.9,11.9,2.9
2014-10-03,24,5.8,6.1,4.3,29.9,6.3,7.9,11.9,2.9
2014-10-04,24.1,5.8,6.2,4.3,29.8,6.3,7.8,12,2.9
2014-10-05,24.1,5.8,6.2,4.3,29.8,6.3,7.8,12,2.9
2014-10-06,24.2,5.7,6.2,4.3,29.8,6.3,7.8,12.1,2.9
2014-10-07,24.2,5.7,6.1,4.3,29.8,6.3,7.8,12.2,2.8
2014-10-08,24.3,5.7,6.1,4.2,29.8,6.3,7.7,12.3,2.8
2014-10-09,24.4,5.6,6.1,4.2,29.8,6.2,7.6,12.4,2.8
2014-10-10,24.5,5.6,6.1,4.2,29.8,6.2,7.6,12.6,2.8
2014-10-11,24.6,5.6,6.1,4.1,29.7,6.2,7.5,12.7,2.7
2014-10-12,24.6,5.5,6.1,4.1,29.7,6.2,7.5,12.8,2.7
2014-10-13,24.6,5.5,6.1,4.1,29.7,6.2,7.5,12.8,2.7
2014-10-14,24.6,5.5,6.1,4.1,29.7,6.2,7.5,12.8,2.7
2014-10-15,24.7,5.5,6.1,4.1,29.7,6.2,7.5,12.8,2.7
2014-10-16,24.7,5.5,6.1,4.1,29.7,6.2,7.5,12.8,2.7
2014-10-17,24.7,5.5,6.1,4.1,29.6,6.2,7.5,12.9,2.7
2014-10-18,24.7,5.5,6.1,4.1,29.6,6.2,7.5,12.9,2.7
2014-10-19,24.7,5.5,6.1,4,29.6,6.2,7.5,12.9,2.7
2014-10-20,24.7,5.5,6.1,4,29.6,6.2,7.5,12.9,2.6
